,id,bbox,centers,radius
15,55,"[[18, 336, 123, 114], [16, 487, 117, 24], [294, 198, 66, 66], [293, 72, 71, 63], [443, 73, 64, 65], [443, 200, 66, 63]]","[(79, 397), (74, 545), (327, 231), (328, 107), (475, 105), (476, 233)]","[61, 58, 33, 35, 32, 33]"
16,56,"[[0, 73, 35, 66], [1, 198, 33, 65], [253, 202, 66, 60], [409, 204, 63, 59], [127, 350, 65, 61], [254, 349, 63, 62], [124, 477, 68, 33], [255, 477, 61, 33]]","[(2, 106), (33, 230), (286, 235), (440, 235), (159, 382), (285, 380), (158, 511), (285, 507)]","[33, 32, 33, 31, 32, 31, 34, 30]"
17,57,"[[331, 438, 98, 75], [33, 404, 157, 107], [61, 146, 56, 51]]","[(380, 487), (111, 482), (89, 174)]","[49, 78, 28]"
18,58,"[[39, 335, 100, 99], [390, 119, 123, 132], [274, 341, 132, 132]]","[(89, 385), (456, 185), (340, 407)]","[50, 66, 66]"
19,59,"[[-1, 124, 48, 127], [190, 171, 61, 63], [193, 62, 62, 61], [316, 94, 65, 68]]","[(62, 187), (221, 202), (224, 93), (350, 128)]","[63, 31, 31, 34]"
20,62,"[[12, 1, 57, 10]]","[(40, 29)]",[28]
21,63,"[[91, 74, 75, 67], [226, 82, 58, 54], [406, 330, 51, 43], [228, 1, 60, 14]]","[(128, 111), (255, 111), (431, 355), (258, 31)]","[37, 29, 25, 30]"
22,64,"[[167, 81, 61, 54], [169, 230, 58, 54], [138, 333, 88, 82], [278, 381, 43, 39], [345, 381, 46, 41], [346, 282, 43, 43], [285, 126, 28, 31], [475, 24, 37, 131], [166, 1, 56, 11], [309, 1, 46, 11]]","[(197, 111), (198, 259), (182, 377), (299, 402), (368, 404), (367, 303), (300, 141), (540, 89), (194, 29), (332, 24)]","[30, 29, 44, 21, 23, 21, 15, 65, 28, 23]"
23,65,"[[3, 14, 153, 150], [24, 189, 158, 153], [423, 406, 51, 51], [309, 476, 25, 23]]","[(79, 90), (103, 268), (448, 431), (321, 488)]","[76, 79, 25, 12]"
24,66,"[[127, 2, 64, 61], [254, 2, 63, 60], [175, 156, 154, 153], [469, 169, 42, 132]]","[(159, 34), (285, 33), (252, 233), (535, 235)]","[32, 31, 77, 66]"
25,67,"[[3, 158, 142, 153], [423, 131, 88, 98], [333, 1, 97, 59], [34, 2, 154, 83]]","[(79, 234), (472, 180), (381, 49), (111, 79)]","[76, 49, 48, 77]"
26,68,"[[1, 130, 45, 98], [133, 27, 98, 98], [422, 399, 89, 96]]","[(50, 179), (182, 76), (470, 447)]","[49, 49, 48]"
27,69,"[[129, 402, 98, 92], [258, 442, 39, 38], [327, 404, 90, 89], [1, 399, 40, 98]]","[(178, 451), (277, 461), (372, 449), (50, 448)]","[49, 19, 45, 49]"
28,75,"[[308, 1, 25, 24]]","[(320, 13)]",[12]
29,78,"[[428, 1, 81, 21]]","[(468, 41)]",[40]
30,79,"[[1, 1, 33, 23], [140, 1, 76, 21], [299, 170, 35, 35], [332, 2, 79, 19]]","[(17, 17), (178, 39), (316, 187), (371, 41)]","[16, 38, 17, 39]"
31,80,"[[465, 132, 31, 30]]","[(480, 147)]",[15]
32,81,"[[1, 133, 20, 27]]","[(14, 146)]",[13]
33,99,"[[310, 284, 98, 99]]","[(359, 333)]",[49]
34,116,"[[74, 375, 48, 46]]","[(98, 399)]",[24]
35,122,"[[328, 163, 91, 92], [329, 268, 89, 91]]","[(374, 209), (374, 313)]","[46, 45]"
36,123,"[[29, 161, 60, 62], [28, 297, 61, 62], [156, 357, 27, 27], [196, 289, 91, 92], [441, 417, 70, 95]]","[(60, 192), (59, 328), (169, 370), (242, 335), (488, 464)]","[31, 31, 13, 46, 47]"
37,124,"[[1, 417, 80, 93]]","[(47, 463)]",[46]
38,131,"[[415, 328, 59, 60], [273, 462, 50, 49], [142, 459, 54, 52], [54, 287, 89, 89]]","[(445, 358), (298, 487), (169, 486), (98, 331)]","[30, 25, 27, 44]"
39,132,"[[333, 193, 28, 29]]","[(347, 207)]",[14]
40,133,"[[440, 1, 71, 60]]","[(475, 36)]",[35]
41,136,"[[253, 134, 41, 40]]","[(273, 154)]",[20]
42,140,"[[185, 82, 56, 54], [494, 380, 17, 53], [499, 199, 12, 50]]","[(213, 110), (520, 406), (524, 224)]","[28, 26, 25]"
43,141,"[[26, 28, 95, 94], [142, 1, 55, 40], [273, 1, 51, 39], [24, 191, 64, 65], [20, 377, 62, 62]]","[(73, 75), (169, 28), (298, 26), (56, 223), (51, 408)]","[47, 27, 25, 32, 31]"
44,142,"[[74, 253, 53, 54]]","[(101, 280)]",[27]
45,143,"[[50, 425, 43, 45], [135, 352, 41, 43]]","[(72, 447), (156, 373)]","[22, 21]"
46,144,"[[142, 385, 61, 62]]","[(173, 416)]",[31]
47,145,"[[291, 224, 63, 63]]","[(322, 255)]",[31]
48,146,"[[96, 387, 94, 91]]","[(143, 434)]",[47]
49,150,"[[218, 146, 136, 134], [101, 363, 136, 139], [494, 202, 17, 53]]","[(286, 214), (170, 432), (520, 228)]","[68, 69, 26]"
50,151,"[[22, 88, 60, 63], [19, 198, 60, 61], [144, 121, 68, 69]]","[(53, 119), (49, 228), (178, 155)]","[31, 30, 34]"
51,153,"[[343, 394, 50, 51], [361, 315, 45, 46], [481, 362, 30, 66], [228, 214, 51, 50], [114, 206, 56, 55], [252, 31, 84, 84]]","[(368, 419), (384, 338), (514, 395), (253, 239), (142, 234), (294, 73)]","[25, 23, 33, 25, 28, 42]"
52,154,"[[6, 361, 66, 65], [294, 207, 69, 69], [102, 227, 68, 65]]","[(39, 394), (328, 241), (136, 261)]","[33, 34, 34]"
53,155,"[[385, 100, 73, 68]]","[(421, 136)]",[36]
54,156,"[[182, 88, 92, 92], [156, 398, 101, 98]]","[(228, 134), (206, 448)]","[46, 50]"
55,157,"[[142, 186, 45, 42], [103, 179, 18, 17]]","[(164, 208), (112, 188)]","[22, 9]"
56,160,"[[1, 53, 58, 101], [118, 1, 103, 24], [246, 425, 100, 86], [433, 425, 78, 86]]","[(51, 103), (169, 52), (296, 475), (476, 468)]","[50, 51, 50, 43]"
57,161,"[[86, 468, 40, 40], [152, 429, 95, 81], [334, 428, 94, 82], [1, 424, 55, 87]]","[(106, 488), (199, 476), (381, 475), (44, 467)]","[20, 47, 47, 43]"
58,162,"[[353, 153, 69, 70], [353, 252, 53, 54], [234, 348, 63, 65], [336, 344, 70, 72], [155, 437, 99, 74]]","[(388, 188), (380, 279), (266, 380), (372, 380), (204, 486)]","[35, 27, 32, 36, 49]"
59,163,"[[179, 247, 56, 56], [177, 371, 152, 140]]","[(207, 275), (253, 447)]","[28, 76]"
60,166,"[[168, 1, 77, 17]]","[(206, 39)]",[38]
61,170,"[[248, 1, 98, 49], [433, 1, 78, 49]]","[(297, 50), (472, 40)]","[49, 39]"
62,171,"[[126, 196, 39, 38], [335, 1, 93, 48], [155, 1, 92, 49], [86, 1, 39, 33], [1, 0, 55, 51]]","[(145, 215), (381, 47), (201, 47), (105, 20), (28, 24)]","[19, 46, 46, 19, 27]"
63,172,"[[104, 188, 50, 50], [408, 179, 70, 70], [156, 1, 97, 60]]","[(129, 213), (443, 214), (204, 49)]","[25, 35, 48]"
64,173,"[[185, 1, 138, 49]]","[(254, 70)]",[69]
65,191,"[[136, 311, 102, 100]]","[(187, 362)]",[51]
66,208,"[[347, 243, 70, 69], [345, 116, 69, 69]]","[(382, 278), (379, 150)]","[35, 34]"
67,282,"[[458, 328, 49, 46], [229, 465, 64, 46], [462, 150, 40, 36]]","[(482, 352), (261, 497), (482, 170)]","[24, 32, 20]"
68,283,"[[49, 193, 31, 25], [1, 149, 26, 37], [0, 327, 30, 46], [127, 437, 69, 62], [198, 455, 52, 48]]","[(64, 208), (19, 167), (7, 350), (161, 471), (224, 481)]","[15, 18, 23, 34, 26]"
69,288,"[[424, 144, 80, 85]]","[(466, 186)]",[42]
70,289,"[[28, 229, 81, 81], [0, 145, 30, 83]]","[(68, 269), (-11, 186)]","[40, 41]"
71,290,"[[199, 109, 102, 98], [423, 174, 88, 126]]","[(250, 160), (486, 237)]","[51, 63]"
72,291,"[[1, 175, 72, 121], [122, 138, 126, 120]]","[(61, 235), (185, 201)]","[60, 63]"
73,292,"[[230, 1, 65, 52], [311, 131, 66, 64], [458, 46, 53, 66]]","[(262, 33), (344, 164), (491, 79)]","[32, 33, 33]"
74,293,"[[1, 48, 47, 61], [52, 66, 51, 48], [130, 1, 61, 23], [201, 1, 46, 29]]","[(31, 78), (77, 91), (160, 31), (224, 24)]","[30, 25, 30, 23]"
75,377,"[[430, 135, 49, 45], [489, 218, 22, 47]]","[(454, 159), (512, 241)]","[24, 23]"
76,378,"[[13, 218, 51, 47]]","[(38, 243)]",[25]
77,432,"[[179, 278, 52, 50], [304, 290, 43, 42], [340, 269, 32, 30]]","[(205, 304), (325, 311), (356, 285)]","[26, 21, 16]"
78,433,"[[333, 177, 41, 42]]","[(354, 198)]",[21]
79,438,"[[237, 228, 40, 35]]","[(257, 248)]",[20]
80,443,"[[432, 44, 57, 55], [456, 101, 55, 56], [427, 178, 57, 54], [384, 216, 58, 57], [348, 282, 70, 68]]","[(460, 72), (484, 129), (455, 206), (413, 245), (383, 317)]","[28, 28, 28, 29, 35]"
81,444,"[[0, 102, 39, 55], [43, 113, 57, 56], [73, 306, 72, 68], [275, 443, 79, 68], [288, 280, 54, 50]]","[(12, 129), (71, 141), (109, 342), (314, 482), (315, 307)]","[27, 28, 36, 39, 27]"
82,445,"[[402, 168, 41, 39], [428, 133, 40, 40]]","[(422, 188), (448, 153)]","[20, 20]"
83,453,"[[400, 42, 58, 54], [346, 48, 41, 38]]","[(429, 71), (366, 68)]","[29, 20]"
84,454,"[[124, 190, 47, 44], [33, 121, 71, 67], [188, 113, 47, 44], [91, 29, 71, 69], [216, 38, 79, 75], [278, 1, 75, 42]]","[(147, 213), (68, 156), (211, 136), (126, 64), (255, 77), (315, 38)]","[23, 35, 23, 35, 39, 37]"
85,458,"[[266, 230, 36, 27], [309, 230, 35, 27], [225, 268, 36, 27], [268, 269, 33, 27], [314, 324, 30, 24], [321, 361, 28, 24], [221, 418, 33, 28], [254, 418, 31, 27], [286, 417, 31, 28]]","[(284, 248), (326, 247), (243, 286), (284, 285), (329, 339), (335, 375), (237, 434), (269, 433), (301, 432)]","[18, 17, 18, 16, 15, 14, 16, 15, 15]"
86,463,"[[23, 223, 99, 95], [153, 220, 90, 88]]","[(72, 272), (198, 265)]","[49, 45]"
87,464,"[[48, 214, 100, 96]]","[(98, 264)]",[50]
88,467,"[[400, 463, 85, 48]]","[(442, 505)]",[42]
89,468,"[[315, 38, 29, 25], [401, 63, 39, 32], [308, 210, 40, 31], [360, 216, 31, 22], [404, 256, 37, 33], [59, 359, 88, 83], [70, 496, 66, 16], [239, 495, 66, 17]]","[(329, 52), (420, 82), (328, 230), (375, 231), (422, 274), (103, 403), (103, 529), (272, 528)]","[14, 19, 20, 15, 18, 44, 33, 33]"
90,476,"[[193, 348, 78, 66]]","[(232, 387)]",[39]
91,477,"[[401, 1, 88, 70]]","[(445, 45)]",[44]
92,478,"[[60, 21, 89, 84], [231, 20, 86, 82], [62, 145, 88, 83], [231, 144, 87, 83]]","[(104, 65), (274, 63), (106, 189), (274, 187)]","[44, 43, 44, 43]"
93,479,"[[461, 297, 51, 71], [459, 213, 53, 70]]","[(496, 332), (494, 248)]","[35, 35]"
94,484,"[[78, 248, 96, 93], [244, 282, 95, 93]]","[(126, 296), (291, 329)]","[48, 47]"
95,485,"[[51, 361, 75, 72], [179, 377, 73, 71]]","[(88, 398), (215, 413)]","[37, 36]"
96,486,"[[292, 370, 77, 71], [372, 40, 85, 78], [219, 38, 78, 71]]","[(330, 408), (414, 82), (258, 77)]","[38, 42, 39]"
97,487,"[[296, 328, 63, 57], [408, 302, 85, 82], [32, 32, 84, 77]]","[(327, 359), (450, 344), (74, 74)]","[31, 42, 42]"
98,488,"[[66, 288, 88, 81], [225, 271, 87, 81], [359, 258, 86, 79]]","[(110, 332), (268, 314), (402, 301)]","[44, 43, 43]"
99,489,"[[17, 242, 87, 82], [167, 241, 61, 55], [324, 224, 61, 56], [460, 208, 51, 58]]","[(60, 285), (197, 271), (354, 254), (489, 237)]","[43, 30, 30, 29]"
100,494,"[[182, 270, 21, 21]]","[(192, 280)]",[10]
101,499,"[[165, 165, 98, 97], [259, 45, 101, 96]]","[(214, 214), (309, 95)]","[49, 50]"
102,513,"[[185, 434, 28, 30], [136, 488, 30, 23]]","[(200, 449), (151, 503)]","[15, 15]"
103,518,"[[410, 144, 97, 96], [412, 274, 68, 66], [483, 338, 29, 65], [407, 389, 68, 68], [407, 485, 66, 27], [495, 442, 16, 55]]","[(458, 192), (446, 308), (515, 370), (441, 423), (440, 518), (522, 469)]","[48, 34, 32, 34, 33, 27]"
104,519,"[[0, 148, 31, 88], [93, 220, 69, 68], [99, 322, 68, 66], [7, 336, 70, 68], [20, 436, 68, 68], [102, 483, 67, 28], [350, 481, 68, 30], [454, 479, 58, 32], [483, 195, 28, 65], [485, 294, 26, 64]]","[(-13, 192), (127, 254), (133, 356), (42, 371), (54, 470), (135, 516), (384, 515), (483, 508), (515, 227), (517, 326)]","[44, 34, 34, 35, 34, 33, 34, 29, 32, 32]"
105,523,"[[136, 13, 30, 28]]","[(151, 28)]",[15]
106,528,"[[406, 10, 69, 67], [425, 278, 68, 67], [425, 372, 69, 69], [405, 459, 69, 52], [299, 449, 69, 62], [202, 350, 86, 87]]","[(440, 44), (459, 312), (459, 406), (439, 493), (333, 483), (245, 393)]","[34, 34, 34, 34, 34, 43]"
107,529,"[[102, 8, 70, 67], [23, 1, 64, 28], [58, 243, 69, 69], [0, 283, 18, 58], [49, 339, 68, 68], [25, 448, 68, 64], [0, 377, 18, 60], [247, 380, 69, 69], [354, 379, 70, 67], [459, 378, 52, 68], [247, 254, 68, 67], [459, 250, 53, 69], [457, 143, 54, 69], [350, 145, 70, 69], [456, 4, 56, 68], [350, 6, 68, 67]]","[(137, 43), (55, 33), (92, 277), (-11, 312), (83, 373), (59, 482), (-12, 407), (281, 414), (389, 414), (493, 412), (281, 288), (493, 284), (491, 177), (385, 180), (490, 38), (384, 40)]","[35, 32, 34, 29, 34, 34, 30, 34, 35, 34, 34, 34, 34, 35, 34, 34]"
108,537,"[[402, 156, 56, 55]]","[(430, 184)]",[28]
109,538,"[[299, 0, 68, 42], [406, 0, 67, 53], [293, 105, 65, 63], [423, 190, 56, 56], [294, 216, 65, 64], [187, 391, 63, 63], [322, 392, 68, 70], [467, 392, 44, 69]]","[(333, 8), (439, 20), (325, 137), (451, 218), (326, 248), (218, 422), (357, 427), (501, 426)]","[34, 33, 32, 28, 32, 31, 35, 34]"
110,539,"[[26, 0, 66, 40], [391, 154, 101, 99], [247, 367, 69, 68], [341, 366, 70, 68], [441, 364, 69, 69], [342, 463, 69, 48], [246, 463, 70, 48], [80, 364, 59, 57], [0, 391, 62, 70]]","[(59, 7), (441, 204), (281, 401), (376, 401), (475, 398), (376, 497), (281, 498), (109, 393), (27, 426)]","[33, 50, 34, 35, 34, 34, 35, 29, 35]"
111,540,"[[81, 128, 39, 34]]","[(100, 147)]",[19]
112,547,"[[337, 155, 88, 91]]","[(382, 200)]",[45]
113,548,"[[365, 275, 31, 29], [137, 491, 41, 20]]","[(380, 290), (157, 511)]","[15, 20]"
114,549,"[[71, 38, 87, 87], [250, 372, 70, 68], [346, 369, 69, 68], [346, 274, 68, 66], [250, 274, 71, 68], [427, 224, 67, 65], [345, 177, 70, 68], [250, 179, 68, 67], [447, 82, 64, 66], [344, 83, 67, 66], [249, 83, 69, 67], [247, 1, 70, 54], [343, 1, 68, 53]]","[(114, 81), (285, 407), (380, 403), (380, 308), (285, 309), (460, 257), (380, 212), (284, 213), (480, 115), (377, 116), (283, 117), (282, 36), (377, 35)]","[43, 35, 34, 34, 35, 33, 35, 34, 33, 33, 34, 35, 34]"
115,551,"[[363, 243, 24, 25], [391, 246, 23, 21], [423, 241, 52, 49]]","[(375, 255), (402, 257), (449, 267)]","[12, 11, 26]"
116,552,"[[95, 112, 55, 55], [27, 154, 57, 54], [56, 239, 53, 50], [48, 392, 49, 47], [109, 434, 49, 46]]","[(122, 139), (55, 182), (82, 265), (72, 416), (133, 458)]","[27, 28, 26, 24, 24]"
117,558,"[[138, 16, 39, 36]]","[(157, 35)]",[19]
118,560,"[[110, 128, 34, 28], [152, 129, 35, 27], [68, 167, 35, 27], [111, 168, 32, 26], [157, 224, 30, 23], [165, 260, 27, 23], [65, 317, 32, 28], [97, 317, 31, 28], [130, 316, 29, 28], [159, 413, 28, 24], [245, 438, 37, 31]]","[(127, 145), (169, 146), (85, 184), (127, 184), (172, 239), (178, 273), (81, 333), (112, 332), (144, 330), (173, 427), (263, 456)]","[17, 17, 17, 16, 15, 13, 16, 15, 14, 14, 18]"
119,562,"[[248, 419, 65, 63]]","[(280, 451)]",[32]
120,570,"[[150, 111, 42, 30], [204, 113, 31, 24], [247, 154, 39, 33], [76, 394, 83, 81]]","[(171, 132), (219, 128), (266, 173), (117, 435)]","[21, 15, 19, 41]"
121,571,"[[396, 53, 75, 74], [399, 207, 75, 73], [400, 364, 71, 73]]","[(433, 90), (436, 244), (436, 400)]","[37, 37, 36]"
122,572,"[[89, 275, 58, 56]]","[(118, 304)]",[29]
123,580,"[[76, 44, 84, 81]]","[(118, 86)]",[42]
124,581,"[[303, 113, 72, 69], [304, 197, 69, 69], [410, 111, 63, 62], [408, 195, 72, 70]]","[(339, 149), (338, 231), (441, 142), (444, 231)]","[36, 34, 31, 36]"
125,590,"[[70, 170, 83, 82], [203, 156, 85, 81], [335, 142, 87, 81], [486, 142, 25, 54]]","[(111, 211), (245, 198), (378, 185), (513, 169)]","[41, 42, 43, 27]"
126,591,"[[11, 140, 60, 54], [168, 124, 58, 53], [303, 110, 58, 55], [439, 95, 59, 55], [104, 420, 99, 92], [466, 380, 44, 92]]","[(41, 170), (197, 153), (332, 139), (468, 124), (153, 469), (512, 426)]","[30, 29, 29, 29, 49, 46]"
127,592,"[[67, 40, 55, 55], [1, 94, 22, 56], [1, 381, 84, 90]]","[(94, 67), (29, 122), (46, 426)]","[27, 28, 45]"
128,593,"[[359, 81, 36, 36]]","[(377, 99)]",[18]
129,629,"[[373, 322, 61, 61], [479, 281, 33, 61]]","[(403, 352), (509, 311)]","[30, 30]"
130,637,"[[341, 174, 49, 50], [341, 237, 49, 50]]","[(366, 199), (366, 262)]","[25, 25]"
131,639,"[[385, 247, 55, 53], [386, 341, 52, 51]]","[(412, 274), (412, 367)]","[27, 26]"
132,649,"[[411, 377, 29, 28], [444, 376, 30, 29]]","[(425, 391), (459, 391)]","[14, 15]"
133,673,"[[350, 354, 76, 74], [430, 405, 71, 65], [354, 447, 68, 62]]","[(388, 392), (465, 440), (388, 481)]","[38, 35, 34]"
134,674,"[[1, 410, 20, 58], [121, 383, 54, 55], [122, 458, 53, 52]]","[(30, 439), (148, 410), (148, 484)]","[29, 27, 26]"
135,677,"[[301, 374, 73, 76], [424, 380, 64, 65]]","[(339, 412), (456, 412)]","[38, 32]"
136,678,"[[55, 379, 68, 68], [32, 498, 51, 13], [1, 385, 16, 58]]","[(89, 413), (57, 523), (30, 414)]","[34, 25, 29]"
137,683,"[[443, 119, 68, 85], [354, 0, 66, 35]]","[(485, 161), (387, 2)]","[42, 33]"
138,684,"[[0, 120, 53, 83], [86, 85, 86, 85], [123, 12, 50, 24], [205, 83, 86, 86], [198, 201, 84, 84]]","[(12, 161), (129, 128), (148, 37), (248, 126), (240, 243)]","[41, 43, 25, 43, 42]"
139,687,"[[304, 256, 31, 33]]","[(320, 272)]",[16]
140,688,"[[25, 241, 64, 64], [28, 143, 60, 65], [22, 26, 71, 72]]","[(57, 273), (60, 175), (58, 62)]","[32, 32, 36]"
141,693,"[[271, 81, 85, 84]]","[(313, 123)]",[42]
142,697,"[[303, 85, 71, 72], [304, 203, 70, 73]]","[(339, 121), (340, 239)]","[36, 36]"
143,698,"[[174, 212, 64, 65], [27, 212, 62, 65]]","[(206, 244), (59, 244)]","[32, 32]"
144,714,"[[420, 282, 90, 95]]","[(467, 329)]",[47]
145,715,"[[130, 207, 126, 129], [0, 283, 39, 95]]","[(194, 271), (-8, 330)]","[64, 47]"
146,734,"[[360, 90, 21, 22]]","[(371, 101)]",[11]
147,750,"[[34, 220, 95, 95], [188, 215, 96, 96]]","[(81, 267), (236, 263)]","[47, 48]"
148,775,"[[294, 107, 97, 96], [452, 182, 59, 68], [296, 236, 67, 67], [368, 297, 69, 68], [457, 282, 54, 68], [291, 351, 68, 67], [379, 398, 66, 71], [463, 445, 48, 66], [291, 446, 67, 64]]","[(342, 155), (486, 216), (329, 269), (402, 331), (491, 316), (325, 385), (414, 433), (496, 478), (324, 479)]","[48, 34, 33, 34, 34, 34, 35, 33, 33]"
149,776,"[[0, 184, 46, 66], [1, 284, 48, 65], [0, 446, 55, 65], [235, 443, 67, 66], [340, 440, 68, 68], [443, 338, 67, 67], [370, 254, 68, 67], [368, 156, 69, 65], [452, 155, 59, 68], [492, 453, 20, 59]]","[(13, 217), (33, 316), (23, 478), (268, 476), (374, 474), (476, 371), (404, 288), (402, 190), (486, 189), (521, 482)]","[33, 32, 32, 33, 34, 33, 34, 34, 34, 29]"
150,777,"[[1, 155, 45, 66], [61, 154, 71, 67], [167, 150, 69, 69], [250, 150, 72, 67], [335, 148, 72, 69], [337, 248, 70, 68], [252, 248, 70, 68], [167, 249, 71, 69], [1, 337, 37, 68], [64, 340, 67, 66], [16, 445, 82, 66], [146, 459, 68, 52]]","[(34, 188), (96, 189), (201, 184), (286, 186), (371, 184), (372, 283), (287, 283), (202, 284), (35, 371), (97, 373), (57, 486), (180, 493)]","[33, 35, 34, 36, 36, 35, 35, 35, 34, 33, 41, 34]"
151,785,"[[86, 312, 85, 86], [184, 410, 67, 69], [289, 421, 71, 69], [382, 409, 70, 68], [308, 335, 67, 67], [409, 301, 67, 66], [309, 239, 68, 69], [418, 206, 67, 67], [290, 1, 68, 37], [462, 1, 49, 38]]","[(129, 355), (218, 444), (324, 456), (417, 444), (341, 368), (442, 334), (343, 273), (451, 239), (324, 35), (486, 25)]","[43, 34, 35, 35, 33, 33, 34, 33, 34, 24]"
152,786,"[[1, 0, 54, 37], [236, 1, 66, 33], [343, 1, 65, 33], [490, 1, 21, 43], [342, 107, 68, 67], [235, 107, 69, 67], [131, 216, 68, 67], [344, 213, 68, 68], [130, 342, 70, 68], [238, 340, 68, 67], [343, 341, 70, 66]]","[(28, 10), (269, 34), (375, 33), (511, 22), (376, 141), (269, 141), (165, 250), (378, 247), (165, 377), (272, 374), (378, 376)]","[27, 33, 32, 21, 34, 34, 34, 34, 35, 34, 35]"
153,787,"[[16, 0, 82, 51], [146, 0, 69, 49], [146, 77, 90, 90], [32, 110, 69, 67], [30, 241, 75, 72], [166, 242, 70, 68], [298, 226, 84, 80], [295, 388, 93, 89]]","[(57, 10), (180, 15), (191, 122), (66, 144), (67, 278), (201, 277), (340, 268), (341, 434)]","[41, 34, 45, 34, 37, 35, 42, 46]"
154,794,"[[287, 118, 54, 53]]","[(314, 145)]",[27]
155,795,"[[178, 67, 63, 62], [179, 177, 63, 64], [307, 153, 55, 53], [351, 354, 70, 69], [440, 325, 57, 57], [206, 354, 68, 71], [72, 354, 61, 61], [431, 475, 81, 36]]","[(209, 98), (211, 209), (334, 180), (386, 389), (468, 353), (241, 389), (102, 384), (471, 515)]","[31, 32, 27, 35, 28, 35, 30, 40]"
156,796,"[[275, 116, 100, 98], [1, 326, 22, 56], [0, 475, 41, 36], [131, 329, 69, 67], [226, 328, 69, 66], [325, 327, 70, 68], [131, 424, 70, 69], [226, 423, 68, 68], [417, 422, 69, 67], [419, 327, 70, 67]]","[(325, 166), (29, 354), (21, 495), (165, 363), (260, 362), (360, 362), (166, 459), (260, 457), (451, 456), (454, 362)]","[50, 28, 20, 34, 34, 35, 35, 34, 34, 35]"
157,797,"[[55, 126, 74, 73], [310, 76, 84, 81], [229, 322, 71, 70], [134, 324, 70, 67], [131, 420, 71, 68], [37, 420, 69, 68], [39, 325, 70, 68], [0, 333, 13, 53], [0, 430, 11, 51]]","[(92, 163), (352, 118), (264, 357), (169, 359), (166, 455), (71, 454), (74, 360), (-13, 359), (-14, 455)]","[37, 42, 35, 35, 35, 34, 35, 26, 25]"
158,868,"[[23, 94, 44, 41]]","[(45, 116)]",[22]
159,883,"[[215, 30, 58, 59]]","[(244, 59)]",[29]
160,897,"[[43, 297, 27, 25], [43, 270, 27, 24], [86, 118, 27, 27]]","[(56, 310), (56, 283), (99, 131)]","[13, 13, 13]"
161,927,"[[241, 460, 32, 30], [263, 492, 32, 19]]","[(257, 476), (279, 508)]","[16, 16]"
162,937,"[[264, 19, 29, 29], [242, 2, 30, 14], [298, 77, 21, 22]]","[(278, 33), (257, 17), (309, 88)]","[14, 15, 11]"
163,985,"[[349, 187, 48, 43]]","[(373, 211)]",[24]
164,1009,"[[419, 36, 59, 59]]","[(448, 65)]",[29]
